Id,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,Style
9009,12.0,1.067,1.011,7.26,73.99,6.27,14.0,75,1.057,73.0,,Specific Gravity,BIAB,,20.0,American IPA
9010,20.82,1.069,1.0170000000000001,6.83,27.45,32.26,30.28,60,1.048,35.0,1.5,Specific Gravity,All Grain,,,American IPA
9011,15.0,1.052,1.006,6.16,29.97,3.88,19.0,60,1.041,75.0,3.6,Specific Gravity,All Grain,,20.0,Saison
9012,12.5,1.045,1.016,3.77,41.39,6.48,16.0,60,1.035,78.0,3.0,Specific Gravity,All Grain,,17.0,American Pale Ale
9013,19.87,1.054,1.0170000000000001,4.84,44.68,5.32,26.5,60,1.041,75.0,2.81,Specific Gravity,All Grain,0.75,19.44,American Pale Ale
9014,15.9,1.072,1.018,7.09,163.96,11.67,18.93,60,1.061,35.0,,Specific Gravity,extract,0.75,18.33,American IPA
9015,63.0,1.061,1.012,6.46,44.63,8.61,75.0,60,1.051,70.0,3.0,Specific Gravity,All Grain,,,American Pale Ale
9016,18.93,1.053,1.012,5.32,28.17,9.03,9.46,60,1.1059999999999999,35.0,,Specific Gravity,extract,,,American Amber Ale
9017,20.82,1.07,1.015,7.16,37.07,4.28,22.71,50,,70.0,,Specific Gravity,Partial Mash,,,Saison
9018,20.82,1.064,1.015,6.43,62.87,7.67,28.39,60,1.047,80.0,1.75,Specific Gravity,All Grain,1.0,,American IPA
9019,20.82,1.06,1.014,6.04,36.04,11.03,28.39,60,1.044,65.0,1.25,Specific Gravity,All Grain,0.5,16.67,American Amber Ale
9020,21.0,1.074,1.0270000000000001,6.16,79.59,16.58,28.5,60,1.055,80.0,,Specific Gravity,BIAB,,20.0,American IPA
9021,23.0,1.067,1.012,7.26,73.04,7.97,30.0,90,1.052,70.0,3.0,Specific Gravity,All Grain,,18.0,American IPA
9022,62.46,1.048,1.012,4.72,27.98,11.32,68.14,60,1.044,75.0,,Specific Gravity,BIAB,,18.33,Irish Red Ale
9023,13.25,1.064,1.016,6.32,48.89,7.22,23.66,90,1.036,75.0,,Specific Gravity,BIAB,0.35,18.33,American Pale Ale
9024,20.82,1.064,1.012,6.8,36.01,30.77,28.39,60,1.047,68.0,,Specific Gravity,All Grain,0.35,20.0,American Brown Ale
9025,8.52,1.052,1.011,5.39,134.49,4.17,13.25,60,1.034,59.0,,Specific Gravity,BIAB,0.75,17.78,American Pale Ale
9026,15.0,1.046,1.011,4.47,9.14,3.31,18.0,60,1.038,75.0,3.0,Specific Gravity,All Grain,,20.0,Witbier
9027,20.0,10.7498,2.65996,4.3,0.0,2.92,25.0,60,8.7,75.0,4.0,Plato,All Grain,,,American Light Lager
9028,18.93,1.072,1.014,7.66,26.47,5.79,23.09,60,1.0590000000000002,65.0,,Specific Gravity,BIAB,,20.0,Saison
9029,20.82,1.064,1.011,6.89,54.58,9.28,24.61,60,1.054,60.0,1.5,Specific Gravity,All Grain,,,American IPA
9030,47.32,1.057,1.012,5.82,38.94,5.39,53.0,60,1.051,72.0,1.3,Specific Gravity,All Grain,,18.33,American Pale Ale
9031,60.0,1.0590000000000002,1.015,5.76,35.08,10.53,28.5,60,1.123,75.0,,Specific Gravity,BIAB,,20.0,American IPA
9032,20.82,1.081,1.018,8.28,43.71,5.15,20.82,60,1.081,35.0,,Specific Gravity,extract,,,Saison
9033,18.93,1.064,1.016,6.29,20.56,9.75,11.36,60,1.1059999999999999,35.0,,Specific Gravity,extract,,,American IPA
9034,18.93,1.0659999999999998,1.022,5.76,36.29,7.66,26.5,60,1.047,70.0,1.5,Specific Gravity,All Grain,,20.0,American Pale Ale
9035,20.82,1.062,1.012,6.56,120.34,7.85,28.39,60,1.046,70.0,1.5,Specific Gravity,All Grain,1.0,21.11,Saison
9036,25.0,1.054,1.013,5.36,33.94,16.04,28.5,60,1.047,70.0,3.0,Specific Gravity,All Grain,,22.0,American Amber Ale
9037,64.35,1.0590000000000002,1.011,6.28,18.21,12.45,53.0,60,1.072,75.0,,Specific Gravity,Partial Mash,,20.0,American Amber Ale
9038,20.82,1.071,1.018,7.01,106.32,11.76,28.39,60,1.052,70.0,1.5,Specific Gravity,All Grain,1.25,20.0,American IPA
9039,21.0,1.052,1.012,5.27,30.16,13.96,28.5,75,1.038,60.0,2.75,Specific Gravity,All Grain,0.75,17.0,Irish Red Ale
9040,26.0,1.0490000000000002,1.013,4.74,35.26,5.34,28.5,70,1.045,63.0,3.0,Specific Gravity,All Grain,,,American Light Lager
9041,20.82,1.061,1.016,5.86,29.38,15.62,28.39,60,1.044,70.0,1.5,Specific Gravity,All Grain,0.35,18.33,Irish Red Ale
9042,1173.48,1.046,1.011,4.55,29.21,3.19,1287.04,60,1.042,78.0,1.5,Specific Gravity,All Grain,1.0,21.11,Saison
9043,23.0,1.063,1.016,6.13,48.39,14.65,28.5,60,1.051,60.0,2.8,Specific Gravity,All Grain,,,American IPA
9044,10.0,1.05,1.012,5.01,113.05,5.84,16.4,60,1.031,65.0,3.0,Specific Gravity,All Grain,,20.0,American IPA
9045,22.71,1.046,1.008,4.92,34.41,4.98,29.34,60,1.035,80.0,1.5,Specific Gravity,All Grain,,17.78,American Pale Ale
9046,18.93,1.044,1.008,4.69,23.34,4.86,9.46,60,1.088,30.0,,Specific Gravity,extract,,21.11,American Pale Ale
9047,20.82,1.065,1.016,6.42,38.62,7.91,11.36,60,1.12,35.0,,Specific Gravity,extract,,18.33,Blonde Ale
9048,30.0,12.9715,2.3938099999999998,5.66,36.07,7.82,36.0,60,10.9,82.0,3.0,Plato,All Grain,,,American Pale Ale
9049,24.0,1.061,1.011,6.6,74.38,6.66,30.0,60,1.0490000000000002,64.0,,Specific Gravity,BIAB,0.35,20.0,American IPA
9050,18.93,1.0490000000000002,1.014,4.59,50.83,10.54,11.36,60,1.081,35.0,,Specific Gravity,extract,,18.33,American Pale Ale
9051,50.0,1.05,1.011,5.1,19.93,13.0,40.0,60,1.063,73.0,3.0,Specific Gravity,All Grain,0.75,20.0,Irish Red Ale
9052,18.93,1.06,1.011,6.34,73.86,11.16,15.14,60,1.075,52.0,,Specific Gravity,extract,0.35,20.0,American Pale Ale
9053,23.0,1.0659999999999998,1.0170000000000001,6.4,50.29,7.76,25.0,60,1.06,70.0,,Specific Gravity,BIAB,0.75,20.0,American IPA
9054,18.93,1.062,1.011,6.65,43.07,4.07,22.71,60,1.051,65.0,1.25,Specific Gravity,All Grain,,,Saison
9055,5.68,1.074,1.021,7.0,89.41,10.77,5.68,60,1.074,35.0,,Specific Gravity,extract,,,American IPA
9056,25.0,1.051,1.01,5.33,38.72,5.31,31.0,70,1.041,75.0,,Specific Gravity,BIAB,1.0,20.0,American Pale Ale
9057,20.82,1.037,1.003,4.47,27.01,5.07,28.39,60,1.0270000000000001,35.0,,Specific Gravity,BIAB,1.5,10.0,American Light Lager
9058,3.18,1.081,1.002,10.41,0.0,3.64,3.0,60,1.0859999999999999,35.0,,Specific Gravity,extract,,,American Light Lager
9059,20.82,1.052,1.012,5.3,15.83,4.26,28.39,60,1.038,70.0,1.5,Specific Gravity,All Grain,,,Blonde Ale
9060,20.0,1.054,1.011,5.69,67.19,5.72,28.5,60,1.038,68.0,3.0,Specific Gravity,All Grain,0.5,15.0,American IPA
9061,18.17,1.057,1.011,6.05,53.07,3.36,20.82,15,1.05,35.0,,Specific Gravity,extract,,18.33,American IPA
9062,41.64,1.092,1.023,9.07,37.09,16.17,47.32,60,1.081,74.0,1.5,Specific Gravity,All Grain,0.5,20.0,Irish Red Ale
9063,22.5,1.0490000000000002,1.012,4.85,39.02,10.1,11.0,60,1.099,35.0,,Specific Gravity,Partial Mash,0.35,,American Pale Ale
9064,18.93,1.065,1.016,6.43,0.0,17.13,18.93,60,,75.0,,Specific Gravity,All Grain,,,American Amber Ale
9065,12.0,1.06,1.011,6.36,22.57,3.41,14.0,60,1.04,70.0,5.0,Specific Gravity,All Grain,0.5,21.0,Saison
9066,20.82,1.061,1.0170000000000001,5.72,18.87,17.97,11.73,60,,80.0,,Specific Gravity,Partial Mash,,,Irish Red Ale
9067,20.82,1.052,1.013,5.06,24.58,3.39,28.39,60,1.038,75.0,1.5,Specific Gravity,All Grain,,,American Light Lager
9068,45.0,12.8224,3.83618,4.83,19.43,3.17,52.0,90,11.2,86.0,2.59,Plato,All Grain,0.5,18.0,Witbier
9069,18.93,1.062,1.0070000000000001,7.2,0.0,13.0,24.68,60,,72.0,,Specific Gravity,All Grain,,,Saison
9070,20.82,1.067,1.0190000000000001,6.29,50.72,5.26,26.5,60,1.052,70.0,,Specific Gravity,BIAB,0.5,20.0,American Pale Ale
9071,20.82,1.052,1.013,5.06,26.15,10.32,24.61,60,1.044,65.0,1.5,Specific Gravity,All Grain,0.35,18.33,American Amber Ale
9072,24.61,1.058,1.015,5.75,35.09,20.43,22.71,60,1.063,35.0,,Specific Gravity,extract,,21.11,American Amber Ale
9073,17.03,1.067,1.025,5.47,107.21,7.21,11.36,60,1.1,50.0,,Specific Gravity,extract,0.75,18.33,American IPA
9074,24.61,1.077,1.016,7.96,88.95,5.95,30.28,90,1.062,80.0,,Specific Gravity,All Grain,1.25,18.89,Imperial IPA
9075,22.71,1.061,1.015,6.0,41.39,6.95,26.5,60,1.052,75.0,1.5,Specific Gravity,All Grain,,,American IPA
9076,18.93,1.05,1.013,4.96,27.88,4.12,18.93,60,1.05,85.0,1.25,Specific Gravity,All Grain,,,Blonde Ale
9077,12.0,1.048,1.013,4.49,46.08,5.62,3.0,30,1.044,35.0,,Specific Gravity,extract,0.35,18.0,American IPA
9078,20.82,1.037,1.012,3.19,54.88,36.17,11.36,60,1.067,35.0,,Specific Gravity,extract,0.35,21.11,American Stout
9079,50.0,1.052,1.012,5.22,21.95,8.24,57.0,70,1.046,73.0,,Specific Gravity,All Grain,,18.0,Saison
9080,18.93,1.061,1.015,5.97,93.53,8.13,18.93,60,1.061,35.0,,Specific Gravity,extract,1.25,22.22,American IPA
9081,19.0,1.0490000000000002,1.012,4.8,38.88,11.02,11.0,60,1.084,35.0,,Specific Gravity,Partial Mash,,,American Pale Ale
9082,20.0,1.068,1.016,6.73,45.99,11.69,25.0,60,1.054,70.0,,Specific Gravity,BIAB,,20.0,American Pale Ale
9083,20.82,1.055,1.013,5.49,23.45,16.39,28.39,60,1.04,85.0,,Specific Gravity,All Grain,1.5,10.0,Irish Red Ale
9084,20.82,1.047,1.0090000000000001,4.95,0.0,6.69,26.5,60,1.037,72.0,,Specific Gravity,BIAB,,21.11,Saison
9085,7.57,1.064,1.0170000000000001,6.06,38.88,20.03,11.36,60,1.042,75.0,,Specific Gravity,BIAB,,,American Brown Ale
9086,18.93,1.064,1.015,6.51,46.61,7.35,23.66,60,1.051,65.0,,Specific Gravity,BIAB,0.5,18.33,American Pale Ale
9087,20.0,1.043,1.006,4.96,20.18,3.11,24.6,45,1.028,60.0,2.8,Specific Gravity,All Grain,1.0,22.0,Blonde Ale
9088,18.93,1.058,1.011,6.14,50.73,5.88,22.71,60,1.048,70.0,1.5,Specific Gravity,All Grain,1.0,21.11,American IPA
9089,40.0,1.048,1.011,4.9,30.2,4.04,30.0,60,1.064,72.0,2.7,Specific Gravity,All Grain,0.75,21.0,American Pale Ale
9090,22.71,1.051,1.013,4.96,47.56,14.38,29.34,60,1.0390000000000001,78.0,,Specific Gravity,BIAB,0.35,18.89,American IPA
9091,11.36,1.053,1.012,5.37,21.43,5.16,26.5,60,1.023,74.0,,Specific Gravity,BIAB,0.75,19.44,Blonde Ale
9092,20.82,1.09,1.0170000000000001,9.61,96.39,9.58,11.36,90,1.166,75.0,,Specific Gravity,extract,0.5,22.22,American IPA
9093,19.0,1.062,1.011,6.72,45.32,7.48,24.0,90,1.0490000000000002,67.0,3.0,Specific Gravity,All Grain,,20.0,American Pale Ale
9094,18.93,1.0490000000000002,1.012,4.84,23.08,3.43,22.71,60,1.041,75.0,,Specific Gravity,BIAB,,,Witbier
9095,18.93,1.06,1.011,6.35,155.03,12.88,22.71,60,1.05,60.0,,Specific Gravity,extract,0.35,18.33,American IPA
9096,9.46,1.062,1.021,5.39,56.05,15.45,9.46,45,1.062,35.0,,Specific Gravity,extract,1.0,20.0,American Pale Ale
9097,20.82,1.065,1.016,6.39,44.12,6.94,27.25,60,1.05,70.0,1.5,Specific Gravity,All Grain,,,American IPA
9098,23.0,1.055,1.014,5.41,50.54,15.49,29.0,60,1.044,70.0,,Specific Gravity,All Grain,,,American Amber Ale
9099,20.82,1.055,1.012,5.68,18.7,10.15,28.39,60,1.04,65.0,1.5,Specific Gravity,All Grain,,,Saison
9100,23.66,1.041,1.011,3.96,33.22,3.36,37.85,90,1.026,70.0,1.25,Specific Gravity,All Grain,0.35,19.44,American Pale Ale
9101,21.0,1.075,1.014,8.02,154.03,14.14,27.0,60,1.053,70.0,,Specific Gravity,All Grain,0.75,18.0,American IPA
9102,18.93,1.047,1.016,4.05,16.16,3.2,26.5,60,1.034,70.0,1.5,Specific Gravity,All Grain,,20.56,Witbier
9103,21.0,1.063,1.016,6.21,0.0,5.15,28.5,60,1.046,65.0,2.8,Specific Gravity,All Grain,,,Saison
9104,20.82,1.061,1.014,6.1,35.12,50.0,28.39,60,1.045,60.0,1.5,Specific Gravity,All Grain,,16.67,American Pale Ale
9105,28.0,1.065,1.015,6.57,37.91,13.94,11.0,60,1.167,35.0,,Specific Gravity,extract,0.35,21.0,American Amber Ale
9106,18.55,1.074,1.015,7.69,56.07,5.16,23.09,60,1.0590000000000002,70.0,,Specific Gravity,BIAB,,,American IPA
9107,9.0,1.008,1.001,0.86,56.47,10.73,12.0,60,1.006,65.0,,Specific Gravity,BIAB,,19.0,American Light Lager
9108,18.93,1.045,1.011,4.48,54.4,11.35,30.28,60,1.028,75.0,,Specific Gravity,BIAB,,,American IPA
9109,41.64,1.057,1.011,6.06,114.43,15.15,51.1,60,1.046,70.0,,Specific Gravity,All Grain,0.75,,American Amber Ale
9110,49.0,1.054,1.01,5.7,41.41,6.52,54.0,60,1.0490000000000002,80.0,3.0,Specific Gravity,All Grain,,18.0,American IPA
9111,3.79,1.063,1.021,5.53,58.84,9.56,5.68,60,1.042,75.0,1.25,Specific Gravity,All Grain,1.0,18.89,American IPA
9112,40.0,1.081,1.0170000000000001,8.33,43.75,4.13,40.0,60,1.081,75.0,3.1,Specific Gravity,All Grain,0.5,20.0,Saison
9113,20.82,1.058,1.014,5.82,0.0,7.22,11.36,90,1.1059999999999999,35.0,,Specific Gravity,extract,0.35,22.78,American Pale Ale
9114,18.93,1.048,1.012,4.76,0.0,12.05,15.14,60,1.06,75.0,,Specific Gravity,Partial Mash,,,Irish Red Ale
9115,19.87,1.07,1.0190000000000001,6.57,65.87,10.32,23.66,60,1.058,35.0,,Specific Gravity,extract,,,American IPA
9116,20.82,1.061,1.0090000000000001,6.91,70.37,7.11,27.44,60,1.047,70.0,1.25,Specific Gravity,All Grain,1.25,19.44,American IPA
9117,20.82,1.07,1.016,7.09,122.13,5.9,28.39,60,1.051,80.0,1.33,Specific Gravity,All Grain,1.0,,American IPA
9118,35.96,1.087,1.024,8.36,18.3,6.62,45.42,60,1.069,78.0,1.5,Specific Gravity,All Grain,0.35,15.0,American IPA
9119,25.0,1.033,1.0090000000000001,3.14,30.85,3.27,25.0,15,1.033,80.0,3.0,Specific Gravity,All Grain,,,American Light Lager
9120,18.93,1.048,1.012,4.71,58.55,3.91,15.14,60,1.06,72.0,1.5,Specific Gravity,All Grain,0.75,20.0,American IPA
9121,22.71,1.071,1.014,7.39,32.86,8.74,28.39,60,1.057,75.0,1.5,Specific Gravity,All Grain,,23.89,Saison
9122,41.64,1.056,1.011,5.92,139.42,15.64,51.1,60,1.046,70.0,1.25,Specific Gravity,All Grain,,20.0,American IPA
9123,19.87,1.064,1.012,6.78,46.44,7.54,9.46,60,1.1340000000000001,35.0,,Specific Gravity,extract,,20.0,American IPA
9124,60.0,1.068,1.0190000000000001,6.44,96.68,19.43,71.0,60,1.057,67.0,,Specific Gravity,All Grain,0.35,18.0,American Stout
9125,18.93,1.058,1.016,5.53,121.13,14.63,7.57,60,1.1440000000000001,35.0,,Specific Gravity,extract,,23.33,American IPA
9126,60.0,1.047,1.008,5.0,37.83,5.87,66.0,60,1.042,70.0,2.7,Specific Gravity,All Grain,0.5,18.0,American Pale Ale
9127,41.64,1.053,1.01,5.63,33.14,7.55,49.21,60,1.045,70.0,1.5,Specific Gravity,All Grain,0.35,22.22,American Pale Ale
9128,20.82,1.077,1.016,8.02,71.08,5.45,28.39,60,1.056,65.0,,Specific Gravity,BIAB,,18.33,Imperial IPA
9129,20.82,1.041,1.008,4.31,61.32,11.61,26.5,60,1.032,35.0,1.0,Specific Gravity,All Grain,0.75,21.11,Saison
9130,18.93,1.052,1.01,5.5,26.57,9.03,22.71,60,1.031,90.0,1.5,Specific Gravity,All Grain,,,Saison
9131,55.0,1.062,1.015,6.17,46.83,10.33,60.0,60,1.057,78.0,1.5,Specific Gravity,All Grain,1.25,19.0,Blonde Ale
9132,25.0,1.043,1.0090000000000001,4.47,19.52,3.28,28.0,90,1.038,70.0,,Specific Gravity,BIAB,0.5,19.0,Blonde Ale
9133,18.93,1.057,1.014,5.69,21.61,4.17,26.5,90,1.041,75.0,2.0,Specific Gravity,All Grain,0.75,20.0,Witbier
9134,45.0,1.054,1.01,5.74,35.59,15.76,57.0,60,1.043,65.0,3.5,Specific Gravity,All Grain,0.75,19.0,American Amber Ale
9135,20.82,1.067,1.0170000000000001,6.58,0.0,14.21,30.28,60,1.046,60.0,,Specific Gravity,BIAB,,,American Light Lager
9136,20.82,1.0490000000000002,1.013,4.75,26.34,5.06,28.39,60,1.036,70.0,1.25,Specific Gravity,All Grain,0.5,17.78,American Pale Ale
9137,18.0,1.071,1.012,7.74,99.83,10.05,14.0,60,1.083,53.0,,Specific Gravity,Partial Mash,,17.0,Imperial IPA
9138,1173.48,13.568,2.99586,5.68,13.23,3.75,1290.83,90,12.4,80.0,1.5,Plato,All Grain,0.75,32.22,Saison
9139,3.79,1.06,1.013,6.17,187.8,4.19,4.73,60,1.048,65.0,1.25,Specific Gravity,All Grain,0.75,22.22,American IPA
9140,18.93,1.063,1.015,6.35,51.69,9.6,26.5,90,1.045,70.0,1.25,Specific Gravity,All Grain,,20.0,American IPA
9141,20.82,1.057,1.01,6.23,76.77,5.26,26.5,60,1.045,70.0,,Specific Gravity,BIAB,,17.78,American IPA
9142,19.0,1.056,1.004,6.87,30.52,4.67,23.0,130,1.047,68.0,,Specific Gravity,BIAB,0.75,19.0,Saison
9143,45.42,1.064,1.016,6.33,44.32,6.05,53.0,60,1.055,78.0,1.25,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
9144,20.82,1.061,1.0170000000000001,5.76,31.17,3.98,29.72,90,1.043,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,Saison
9145,20.0,1.0590000000000002,1.013,6.0,61.55,5.55,23.0,60,1.051,70.0,3.0,Specific Gravity,All Grain,,,American IPA
9146,20.82,1.05,1.01,5.36,63.53,2.16,24.61,60,1.043,35.0,,Specific Gravity,extract,,19.44,American Pale Ale
9147,41.64,1.062,1.016,6.05,44.38,6.73,49.21,75,1.053,65.0,1.5,Specific Gravity,All Grain,0.35,20.0,American IPA
9148,25.0,1.0590000000000002,1.014,5.88,34.49,14.35,36.0,90,1.041,85.0,3.0,Specific Gravity,All Grain,,18.0,American IPA
9149,20.82,1.055,1.016,5.03,39.92,11.32,28.39,60,1.04,70.0,1.5,Specific Gravity,All Grain,,,American Amber Ale
9150,20.82,1.0659999999999998,1.012,7.07,144.5,5.15,28.39,90,1.048,75.0,1.5,Specific Gravity,All Grain,1.25,20.0,American IPA
9151,23.0,1.057,1.011,6.09,49.5,7.98,23.9,30,1.053,35.0,,Specific Gravity,extract,0.35,16.0,American IPA
9152,20.82,1.052,1.013,5.11,27.18,9.72,30.28,60,1.036,80.0,1.5,Specific Gravity,All Grain,,,American Pale Ale
9153,18.93,1.07,1.013,7.44,31.78,4.56,24.61,60,1.053,35.0,,Specific Gravity,extract,,21.11,Witbier
9154,21.58,1.074,1.014,8.31,37.02,5.86,24.61,60,1.065,68.0,1.5,Specific Gravity,All Grain,1.0,18.33,Imperial IPA
9155,20.82,1.064,1.0090000000000001,7.19,92.1,10.91,28.39,90,1.047,67.0,1.25,Specific Gravity,All Grain,0.5,20.0,American IPA
9156,7.57,1.034,1.006,3.73,113.33,13.17,15.14,60,1.0170000000000001,35.0,,Specific Gravity,BIAB,,20.0,Blonde Ale
9157,18.93,1.071,1.0170000000000001,7.16,88.94,6.43,24.61,60,1.055,65.0,1.5,Specific Gravity,All Grain,0.35,18.33,American IPA
9158,20.82,1.048,1.014,4.51,104.24,6.85,28.39,60,1.035,75.0,1.5,Specific Gravity,All Grain,1.5,21.11,American Light Lager
9159,18.93,1.055,1.014,5.4,42.3,3.71,28.39,60,1.037,70.0,1.5,Specific Gravity,All Grain,0.75,17.78,Blonde Ale
9160,24.61,1.05,1.0090000000000001,5.39,17.48,7.7,32.18,60,1.038,75.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
9161,20.0,1.06,1.011,6.4,51.7,10.35,26.5,60,1.045,75.0,,Specific Gravity,BIAB,,,American Light Lager
9162,136.27,17.4934,4.33671,7.2,54.23,12.28,151.42,60,15.8,80.0,1.25,Plato,All Grain,0.75,21.11,American IPA
9163,21.0,1.055,1.013,5.58,28.58,4.69,26.0,60,1.044,74.0,,Specific Gravity,BIAB,,17.0,American IPA
9164,50.0,1.0659999999999998,1.013,7.04,74.23,32.14,53.0,60,1.063,70.0,,Specific Gravity,All Grain,,18.0,American IPA
9165,20.82,1.065,1.015,6.52,28.58,8.91,28.39,75,1.048,75.0,1.5,Specific Gravity,All Grain,,16.67,American Light Lager
9166,38.0,1.052,1.0090000000000001,5.82,17.78,42.41,42.0,60,1.047,70.0,3.0,Specific Gravity,All Grain,0.35,22.0,American Stout
9167,21.0,1.051,1.0090000000000001,5.54,58.26,11.18,28.5,60,1.038,64.7,3.5,Specific Gravity,All Grain,,17.0,American Pale Ale
9168,20.82,1.061,1.014,6.11,80.28,5.65,28.39,60,1.045,80.0,,Specific Gravity,BIAB,,,American Pale Ale
9169,45.42,1.079,1.014,8.55,82.05,6.13,56.02,60,1.056,70.0,1.5,Specific Gravity,All Grain,0.75,19.44,Imperial IPA
9170,18.93,1.057,1.014,5.58,66.43,8.81,26.12,90,1.041,70.0,1.25,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
9171,22.71,1.079,1.0290000000000001,6.58,10.15,4.87,32.18,60,1.056,70.0,,Specific Gravity,BIAB,0.35,20.0,American IPA
9172,26.5,1.052,1.008,5.97,36.27,6.21,30.28,60,1.046,70.0,1.57,Specific Gravity,All Grain,0.75,20.0,American IPA
9173,23.0,1.052,1.01,5.64,65.3,4.18,28.5,60,1.042,75.0,3.0,Specific Gravity,All Grain,,15.0,American IPA
9174,10.41,1.065,1.016,6.44,0.0,6.93,14.2,60,1.048,70.0,,Specific Gravity,Partial Mash,,,American IPA
9175,20.82,1.055,1.01,5.99,24.93,7.71,26.5,60,1.044,65.0,1.25,Specific Gravity,All Grain,0.35,-5.56,Saison
9176,59.62,1.1059999999999999,1.023,10.95,56.49,8.2,67.19,90,1.0759999999999998,60.0,1.25,Specific Gravity,All Grain,1.25,20.0,Imperial IPA
9177,5.68,1.054,1.01,5.75,41.91,12.95,7.57,30,1.04,70.0,2.0,Specific Gravity,All Grain,1.25,18.33,American Pale Ale
9178,20.82,1.082,1.02,8.03,181.23,8.68,26.5,90,,70.0,,Specific Gravity,All Grain,,,American IPA
9179,26.5,1.0590000000000002,1.018,5.32,24.49,13.77,34.07,60,1.046,75.0,1.5,Specific Gravity,All Grain,,,Irish Red Ale
9180,24.61,1.053,1.011,5.53,41.37,10.72,28.39,45,1.046,80.0,1.25,Specific Gravity,All Grain,0.75,21.11,American Amber Ale
9181,11.0,1.042,1.0070000000000001,4.55,14.49,5.34,13.0,45,1.035,65.0,,Specific Gravity,BIAB,1.75,18.0,American Pale Ale
9182,20.82,1.06,1.015,5.86,98.0,38.93,30.28,40,1.041,70.0,,Specific Gravity,Partial Mash,,,American Light Lager
9183,20.82,1.057,1.011,6.03,46.36,9.25,26.5,60,1.045,72.0,,Specific Gravity,All Grain,,20.0,American IPA
9184,50.0,1.057,1.013,5.77,23.69,5.95,55.0,60,1.052,75.0,,Specific Gravity,All Grain,,18.0,American Pale Ale
9185,21.0,1.054,1.01,5.79,36.63,7.69,30.0,60,1.038,68.0,,Specific Gravity,BIAB,,20.0,American Pale Ale
9186,18.93,1.058,1.014,5.73,58.4,9.5,22.71,60,1.048,70.0,1.5,Specific Gravity,All Grain,,,American IPA
9187,24.61,1.065,1.014,6.65,114.24,4.19,30.28,90,1.053,70.0,,Specific Gravity,All Grain,1.0,21.11,American IPA
9188,24.61,1.064,1.0090000000000001,7.15,67.48,4.2,30.28,60,1.046,70.0,1.25,Specific Gravity,All Grain,0.75,18.89,American IPA
9189,20.82,1.056,1.011,5.94,65.75,5.1,28.39,60,1.041,70.0,,Specific Gravity,All Grain,,,American IPA
9190,19.87,1.07,1.0190000000000001,6.68,53.86,6.67,32.18,60,1.043,75.0,,Specific Gravity,BIAB,0.75,18.33,American IPA
9191,7.57,1.048,1.0090000000000001,5.08,39.72,6.1,5.68,45,1.064,35.0,,Specific Gravity,extract,,,American Pale Ale
9192,20.82,1.057,1.014,5.74,71.66,7.69,27.63,60,1.043,71.0,1.25,Specific Gravity,All Grain,,20.0,American IPA
9193,100.0,1.0659999999999998,1.015,6.65,38.04,9.51,120.0,60,1.055,75.0,,Specific Gravity,Partial Mash,,,American IPA
9194,33.0,1.057,1.011,6.05,26.31,3.29,35.0,60,1.053,91.0,3.0,Specific Gravity,All Grain,0.5,25.0,Saison
9195,22.71,1.053,1.01,5.59,48.07,10.08,18.93,60,1.063,35.0,,Specific Gravity,extract,0.75,20.0,American IPA
9196,43.9,1.048,1.012,4.81,23.11,18.4,60.2,90,1.035,70.0,2.7,Specific Gravity,All Grain,,,Irish Red Ale
9197,40.0,1.057,1.013,5.72,60.23,6.68,52.0,60,1.044,70.0,,Specific Gravity,All Grain,0.5,20.0,Blonde Ale
9198,18.93,1.057,1.012,5.81,40.18,12.96,24.61,60,1.044,35.0,,Specific Gravity,extract,0.35,20.0,American Pale Ale
9199,20.82,1.061,1.013,6.32,41.44,6.19,28.39,60,1.045,75.0,1.25,Specific Gravity,All Grain,,,American Pale Ale
9200,24.61,1.056,1.014,5.47,51.26,8.45,30.28,60,1.045,70.0,1.5,Specific Gravity,All Grain,0.75,20.0,American Pale Ale
9201,20.82,1.0759999999999998,1.014,8.05,139.25,7.07,15.14,60,1.104,35.0,,Specific Gravity,extract,,,Imperial IPA
9202,25.0,1.053,1.011,5.49,48.15,9.16,35.0,90,1.038,65.0,2.0,Specific Gravity,All Grain,,,American Pale Ale
9203,23.0,1.06,1.013,6.17,36.32,13.4,26.0,75,1.053,75.0,2.5,Specific Gravity,All Grain,0.35,19.0,American Amber Ale
9204,20.82,1.061,1.01,6.63,48.9,9.18,26.5,60,1.048,75.0,1.33,Specific Gravity,All Grain,,17.22,American Pale Ale
9205,25.0,12.4631,2.67663,5.23,16.38,7.45,32.0,75,9.8,65.0,2.3,Plato,All Grain,1.0,19.0,Witbier
9206,18.93,1.072,1.018,7.11,301.0,8.44,26.5,90,1.052,73.0,1.5,Specific Gravity,All Grain,,,American IPA
9207,2581.65,1.072,1.018,7.11,72.62,38.61,2876.91,90,1.065,85.0,1.5,Specific Gravity,All Grain,,,American Stout
